Module_id,Module_name,Status,Block_completeness,Missing_or_alternative_KOs,Detected_KOs,Completed_blocks,Total_blocks,Completeness_percent,Sample,Input_alias,Dataset,Report_file,Detected_KO_count,Missing_or_alternative_KO_count,Module_url,Detected_KO_links
M00615,Nitrate_assimilation,1 BLOCK MISSING,5__6,"K10534,K00372,K00360,K17877,K15578,K15579,K10534,K00372,K00360,K17877","K02575,K00367,K00366,K15576,K15577",5.0,6.0,83.33333333333333,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,5,6,https://www.kegg.jp/entry/M00615,https://www.kegg.jp/entry/K00366; https://www.kegg.jp/entry/K00367; https://www.kegg.jp/entry/K02575; https://www.kegg.jp/entry/K15576; https://www.kegg.jp/entry/K15577
M00616,Sulfate-sulfur_assimilation,COMPLETE,4__4,"K23163,K13811,K00957K00860,K00392","K02048,K02046,K02047,K02045,K00958,K00860,K00955,K00957,K00956,K00390,K00380,K00381",4.0,4.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,12,5,https://www.kegg.jp/entry/M00616,https://www.kegg.jp/entry/K00380; https://www.kegg.jp/entry/K00381; https://www.kegg.jp/entry/K00390; https://www.kegg.jp/entry/K00860; https://www.kegg.jp/entry/K00955; https://www.kegg.jp/entry/K00956; https://www.kegg.jp/entry/K00957; https://www.kegg.jp/entry/K00958; https://www.kegg.jp/entry/K02045; https://www.kegg.jp/entry/K02046; https://www.kegg.jp/entry/K02047; https://www.kegg.jp/entry/K02048
M00617,Methanogen,1 BLOCK MISSING,5__6,"K00201,K11260,K00204,K13942,K00578,K00582,K00583,K22480,K22481,K22482,K08264,K08265,K03390K14127,K14126,K14128,K22516,K14082,K16177,K16176,K16179,K16178,K14084,K14083,K22480,K22481,K22482,K08264,K08265,K03390K14127,K14126,K14128,K22516,K14080,K04480,K14081,K22480,K22481,K22482,K08264,K08265,K03390K14127,K14126,K14128,K22516,K00578,K00582,K00583,K22480,K22481,K22482,K08264,K08265,K03390K14127,K14126,K14128,K22516","K00200,K00202,K00203,K11261,K00205,K00672,K01499,K00319,K00320,K00577,K00579,K00580,K00581,K00584,K00399,K00401,K00402,K03388,K03389,K03390,K00125,K00925,K01895,K00625,K13788,K00193,K00197,K00194",5.0,6.0,83.33333333333333,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,28,27,https://www.kegg.jp/entry/M00617,https://www.kegg.jp/entry/K00125; https://www.kegg.jp/entry/K00193; https://www.kegg.jp/entry/K00194; https://www.kegg.jp/entry/K00197; https://www.kegg.jp/entry/K00200; https://www.kegg.jp/entry/K00202; https://www.kegg.jp/entry/K00203; https://www.kegg.jp/entry/K00205; https://www.kegg.jp/entry/K00319; https://www.kegg.jp/entry/K00320; https://www.kegg.jp/entry/K00399; https://www.kegg.jp/entry/K00401; https://www.kegg.jp/entry/K00402; https://www.kegg.jp/entry/K00577; https://www.kegg.jp/entry/K00579; https://www.kegg.jp/entry/K00580; https://www.kegg.jp/entry/K00581; https://www.kegg.jp/entry/K00584; https://www.kegg.jp/entry/K00625; https://www.kegg.jp/entry/K00672; https://www.kegg.jp/entry/K00925; https://www.kegg.jp/entry/K01499; https://www.kegg.jp/entry/K01895; https://www.kegg.jp/entry/K03388; https://www.kegg.jp/entry/K03389; https://www.kegg.jp/entry/K03390; https://www.kegg.jp/entry/K11261; https://www.kegg.jp/entry/K13788
M00618,Acetogen,INCOMPLETE,6__9,"K05299,K15022,K15023,K14138,K15024","K00198,K01938,K01491,K00297,K00197,K00194,K00625,K13788,K00925",6.0,9.0,66.66666666666667,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,9,5,https://www.kegg.jp/entry/M00618,https://www.kegg.jp/entry/K00194; https://www.kegg.jp/entry/K00197; https://www.kegg.jp/entry/K00198; https://www.kegg.jp/entry/K00297; https://www.kegg.jp/entry/K00625; https://www.kegg.jp/entry/K00925; https://www.kegg.jp/entry/K01491; https://www.kegg.jp/entry/K01938; https://www.kegg.jp/entry/K13788
M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate",2 BLOCKS MISSING,5__7,"K01959,K18209,K18210","K00169,K00170,K00171,K00172,K01960,K00024,K01677,K01678,K01902,K01903,K00174,K00175,K00176,K00177",5.0,7.0,71.42857142857143,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,14,3,https://www.kegg.jp/entry/M00620,https://www.kegg.jp/entry/K00024; https://www.kegg.jp/entry/K00169; https://www.kegg.jp/entry/K00170; https://www.kegg.jp/entry/K00171; https://www.kegg.jp/entry/K00172; https://www.kegg.jp/entry/K00174; https://www.kegg.jp/entry/K00175; https://www.kegg.jp/entry/K00176; https://www.kegg.jp/entry/K00177; https://www.kegg.jp/entry/K01677; https://www.kegg.jp/entry/K01678; https://www.kegg.jp/entry/K01902; https://www.kegg.jp/entry/K01903; https://www.kegg.jp/entry/K01960
M00622,"Nicotinate degradation, nicotinate => fumarate",INCOMPLETE,0__6,"K18029,K18030,K14974,K18028,K15357,K13995,K01799",,0.0,6.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,7,https://www.kegg.jp/entry/M00622,
M00623,"Phthalate degradation, phthalate => protocatechuate",INCOMPLETE,0__3,"K18068,K18069,K18067,K04102",,0.0,3.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,4,https://www.kegg.jp/entry/M00623,
M00624,"Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate",2 BLOCKS MISSING,0__2,"K18074,K18075,K18077,K18076",,0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,4,https://www.kegg.jp/entry/M00624,
M00625,Methicillin resistance,INCOMPLETE,0__3,"K02547,K02546,K02545",,0.0,3.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,3,https://www.kegg.jp/entry/M00625,
M00627,"beta-Lactam resistance, Bla system",2 BLOCKS MISSING,1__3,"K02172,K02171,K18766",K17836,1.0,3.0,33.333333333333336,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,3,https://www.kegg.jp/entry/M00627,https://www.kegg.jp/entry/K17836
M00630,"D-Galacturonate degradation (fungi), D-galacturonate => glycerol",INCOMPLETE,0__4,"K18106,K19634,K18102,K18103,K18107",,0.0,4.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,5,https://www.kegg.jp/entry/M00630,
M00631,"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P",COMPLETE,5__5,"K16849,K16850,K17463","K01812,K00041,K01685,K00874,K01625",5.0,5.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,5,3,https://www.kegg.jp/entry/M00631,https://www.kegg.jp/entry/K00041; https://www.kegg.jp/entry/K00874; https://www.kegg.jp/entry/K01625; https://www.kegg.jp/entry/K01685; https://www.kegg.jp/entry/K01812
M00632,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",COMPLETE,4__4,,"K01785,K00849,K00965,K01784",4.0,4.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,4,0,https://www.kegg.jp/entry/M00632,https://www.kegg.jp/entry/K00849; https://www.kegg.jp/entry/K00965; https://www.kegg.jp/entry/K01784; https://www.kegg.jp/entry/K01785
M00633,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P",INCOMPLETE,0__4,"K05308,K18126,K11395,K00131,K18978",,0.0,4.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,5,https://www.kegg.jp/entry/M00633,
M00636,"Phthalate degradation, phthalate => protocatechuate",INCOMPLETE,0__3,"K18251,K18252,K18253,K18254,K18255,K18256",,0.0,3.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,6,https://www.kegg.jp/entry/M00636,
M00637,"Anthranilate degradation, anthranilate => catechol",1 BLOCK MISSING,0__1,"K05599,K05600,K11311,K16319,K16320,K18248,K18249",,0.0,1.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,7,https://www.kegg.jp/entry/M00637,
M00638,"Salicylate degradation, salicylate => gentisate",1 BLOCK MISSING,0__1,"K18242,K18243,K14578,K14581",,0.0,1.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,4,https://www.kegg.jp/entry/M00638,
M00639,"Multidrug resistance, efflux pump MexCD-OprJ",2 BLOCKS MISSING,0__2,"K18294,K18295,K18296,K08721",,0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,4,https://www.kegg.jp/entry/M00639,
M00641,"Multidrug resistance, efflux pump MexEF-OprN",2 BLOCKS MISSING,0__2,"K18297,K18298,K18299,K18300",,0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,4,https://www.kegg.jp/entry/M00641,
M00642,"Multidrug resistance, efflux pump MexJK-OprM",2 BLOCKS MISSING,0__2,"K18301,K18302,K18303",K18139,0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,3,https://www.kegg.jp/entry/M00642,https://www.kegg.jp/entry/K18139
M00643,"Multidrug resistance, efflux pump MexXY-OprM",2 BLOCKS MISSING,0__2,"K18129,K18094,K18095",K18139,0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,3,https://www.kegg.jp/entry/M00643,https://www.kegg.jp/entry/K18139
M00649,"Multidrug resistance, efflux pump AdeABC",INCOMPLETE,0__3,"K18143,K18144,K18145,K18146,K18147",,0.0,3.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,5,https://www.kegg.jp/entry/M00649,
M00651,"Vancomycin resistance, D-Ala-D-Lac type",INCOMPLETE,2__14,"K18345,K18344,K07260,K18346,K18347,K15739,K18351,K18352,K18354,K18353,K18347,K15739",K08641,2.0,14.0,14.285714285714286,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,10,https://www.kegg.jp/entry/M00651,https://www.kegg.jp/entry/K08641
M00652,"Vancomycin resistance, D-Ala-D-Ser type",INCOMPLETE,0__5,"K18350,K18349,K18348,K18856,K18866",,0.0,5.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,5,https://www.kegg.jp/entry/M00652,
M00660,"Xanthomonas spp. pathogenicity signature, T3SS and effectors",INCOMPLETE,0__8,"K03222,K03226,K03227,K03228,K03229,K03230,K03224,K03225,K03223,K18374,K18376,K18373,K18375,K18377,K18378,K18379,K18380,K18381",,0.0,8.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,18,https://www.kegg.jp/entry/M00660,
M00661,"Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline",INCOMPLETE,0__3,"K18385,K18386,K18387",,0.0,3.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,3,https://www.kegg.jp/entry/M00661,
M00664,Nodulation,INCOMPLETE,0__4,"K14658,K14659,K14666,K14657",,0.0,4.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,4,https://www.kegg.jp/entry/M00664,
M00672,"Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin",INCOMPLETE,0__3,"K12743,K04126,K10852",,0.0,3.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,3,https://www.kegg.jp/entry/M00672,
M00673,"Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C",INCOMPLETE,0__8,"K12743,K04126,K04127,K12744,K12745,K04128,K18062,K18063",,0.0,8.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,8,https://www.kegg.jp/entry/M00673,
M00674,"Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate",INCOMPLETE,0__4,"K12673,K12674,K12675,K12676",,0.0,4.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,4,https://www.kegg.jp/entry/M00674,
M00675,"Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate",INCOMPLETE,0__3,"K18317,K18316,K18315",,0.0,3.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,3,https://www.kegg.jp/entry/M00675,
M00696,"Multidrug resistance, efflux pump AcrEF-TolC",2 BLOCKS MISSING,0__2,"K18140,K18142","K18141,K12340",0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,2,2,https://www.kegg.jp/entry/M00696,https://www.kegg.jp/entry/K12340; https://www.kegg.jp/entry/K18141
M00697,"Multidrug resistance, efflux pump MdtEF-TolC",2 BLOCKS MISSING,0__2,"K07690,K18898,K18899",K12340,0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,3,https://www.kegg.jp/entry/M00697,https://www.kegg.jp/entry/K12340
M00698,"Multidrug resistance, efflux pump BpeEF-OprC",2 BLOCKS MISSING,0__2,"K18900,K18901,K18902,K18903",,0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,4,https://www.kegg.jp/entry/M00698,
M00700,"Multidrug resistance, efflux pump AbcA",2 BLOCKS MISSING,0__2,"K18906,K18907,K18104",,0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,3,https://www.kegg.jp/entry/M00700,
M00702,"Multidrug resistance, efflux pump NorB",2 BLOCKS MISSING,0__2,"K18906,K18907,K08170",,0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,3,https://www.kegg.jp/entry/M00702,
M00704,"Tetracycline resistance, efflux pump Tet38",2 BLOCKS MISSING,0__2,"K18906,K08168",,0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,2,https://www.kegg.jp/entry/M00704,
M00705,"Multidrug resistance, efflux pump MepA",2 BLOCKS MISSING,0__2,"K18909,K18908",,0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,2,https://www.kegg.jp/entry/M00705,
M00714,"Multidrug resistance, efflux pump QacA",2 BLOCKS MISSING,0__2,"K18938,K08167",,0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,2,https://www.kegg.jp/entry/M00714,
M00718,"Multidrug resistance, efflux pump MexAB-OprM",2 BLOCKS MISSING,0__2,"K18131,K03585,K18138",K18139,0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,3,https://www.kegg.jp/entry/M00718,https://www.kegg.jp/entry/K18139
M00725,"Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon",INCOMPLETE,0__3,"K19077,K19078,K14188,K03740","K03367,K03739",0.0,3.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,2,4,https://www.kegg.jp/entry/M00725,https://www.kegg.jp/entry/K03367; https://www.kegg.jp/entry/K03739
M00726,"Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF",2 BLOCKS MISSING,1__3,"K19077,K19078",K14205,1.0,3.0,33.333333333333336,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,2,https://www.kegg.jp/entry/M00726,https://www.kegg.jp/entry/K14205
M00730,"Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter",INCOMPLETE,0__3,"K19077,K19078,K19079,K19080",,0.0,3.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,4,https://www.kegg.jp/entry/M00730,
M00736,"Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A",INCOMPLETE,0__4,"K19102,K19103,K19104,K19105,K19106",K05375,0.0,4.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,5,https://www.kegg.jp/entry/M00736,https://www.kegg.jp/entry/K05375
M00740,Methylaspartate cycle,INCOMPLETE,5__11,"K19268,K01846,K04835,K19280,K14449,K19281,K19282","K01647,K01681,K00031,K00261,K00024",5.0,11.0,45.45454545454545,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,5,7,https://www.kegg.jp/entry/M00740,https://www.kegg.jp/entry/K00024; https://www.kegg.jp/entry/K00031; https://www.kegg.jp/entry/K00261; https://www.kegg.jp/entry/K01647; https://www.kegg.jp/entry/K01681
M00741,"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA",COMPLETE,3__3,"K18472,K19312,K22568,K01964,K15036,K15037","K01965,K01966,K11263,K05606,K01847,K01848,K01849",3.0,3.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,7,6,https://www.kegg.jp/entry/M00741,https://www.kegg.jp/entry/K01847; https://www.kegg.jp/entry/K01848; https://www.kegg.jp/entry/K01849; https://www.kegg.jp/entry/K01965; https://www.kegg.jp/entry/K01966; https://www.kegg.jp/entry/K05606; https://www.kegg.jp/entry/K11263
M00744,"Cationic antimicrobial peptide (CAMP) resistance, protease PgtE",2 BLOCKS MISSING,1__3,"K07660,K08477",K07637,1.0,3.0,33.333333333333336,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,2,https://www.kegg.jp/entry/M00744,https://www.kegg.jp/entry/K07637
M00745,"Imipenem resistance, repression of porin OprD",2 BLOCKS MISSING,1__3,"K18072,K07644,K18297,K18073,K18297,K18093",K07665,1.0,3.0,33.333333333333336,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,5,https://www.kegg.jp/entry/M00745,https://www.kegg.jp/entry/K07665
M00746,"Multidrug resistance, repression of porin OmpF",INCOMPLETE,0__3,"K13632,K18513,K09476",,0.0,3.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,3,https://www.kegg.jp/entry/M00746,
M00761,"Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N",1 BLOCK MISSING,3__4,K07806,"K10011,K10012,K13014",3.0,4.0,75.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,3,1,https://www.kegg.jp/entry/M00761,https://www.kegg.jp/entry/K10011; https://www.kegg.jp/entry/K10012; https://www.kegg.jp/entry/K13014
M00763,"Ornithine biosynthesis, mediated by LysW, glutamate => ornithine",INCOMPLETE,3__6,"K05826,K19412,K05831","K05828,K05829,K05830",3.0,6.0,50.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,3,3,https://www.kegg.jp/entry/M00763,https://www.kegg.jp/entry/K05828; https://www.kegg.jp/entry/K05829; https://www.kegg.jp/entry/K05830
M00769,"Multidrug resistance, efflux pump MexPQ-OpmE",INCOMPLETE,0__3,"K18304,K19591,K19595,K19594,K19593",,0.0,3.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,5,https://www.kegg.jp/entry/M00769,
M00773,"Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin",INCOMPLETE,0__8,"K15988,K15989,K15990,K15992,K15991,K15993,K15994,K15995,K15996",,0.0,8.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,9,https://www.kegg.jp/entry/M00773,
M00774,"Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B",INCOMPLETE,0__6,"K10817,K14366,K14367,K14368,K15997,K14370,K14369",,0.0,6.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,7,https://www.kegg.jp/entry/M00774,
M00775,"Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin",INCOMPLETE,0__5,"K16007,K16008,K16009,K13320,K16010",,0.0,5.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,5,https://www.kegg.jp/entry/M00775,
M00776,"Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin",INCOMPLETE,0__4,"K16000,K16001,K16002,K16003,K16004,K16005,K16006",,0.0,4.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,7,https://www.kegg.jp/entry/M00776,
M00777,"Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b",INCOMPLETE,0__5,"K14371,K14372,K14373,K14374,K14375",,0.0,5.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,5,https://www.kegg.jp/entry/M00777,
M00778,"Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide",INCOMPLETE,0__4,"K05551,K05552,K05553,K12420,K05554,K14249,K15884,K15885,K15886,K05555,K14250,K15886",,0.0,4.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,11,https://www.kegg.jp/entry/M00778,
M00779,"Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin",INCOMPLETE,0__4,"K05556,K14626,K14627,K14628,K14629,K14630,K14631,K14632",,0.0,4.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,8,https://www.kegg.jp/entry/M00779,
M00780,"Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline",INCOMPLETE,0__7,"K14251,K14252,K14253,K14254,K14255,K14256,K21301",,0.0,7.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,7,https://www.kegg.jp/entry/M00780,
M00781,"Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone",INCOMPLETE,0__4,"K15941,K15942,K15943,K15944",,0.0,4.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,4,https://www.kegg.jp/entry/M00781,
M00782,"Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin",INCOMPLETE,0__8,"K15959,K15960,K15961,K15963,K15964,K15965,K15966,K15967",,0.0,8.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,8,https://www.kegg.jp/entry/M00782,
M00783,"Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C",INCOMPLETE,0__6,"K15968,K15969,K15886,K15970,K15971,K15972",,0.0,6.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,6,https://www.kegg.jp/entry/M00783,
M00784,"Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A",INCOMPLETE,0__5,"K19566,K19567,K19568,K19569,K19570",,0.0,5.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,5,https://www.kegg.jp/entry/M00784,
M00785,"Cycloserine biosynthesis, arginine/serine => cycloserine",INCOMPLETE,0__6,"K19741,K19723,K19726,K19725,K19724,K19727",,0.0,6.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,6,https://www.kegg.jp/entry/M00785,
M00786,"Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A",INCOMPLETE,0__9,"K18281,K14132,K17475,K18280,K17827,K17826,K14134,K17825,K18279",,0.0,9.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,9,https://www.kegg.jp/entry/M00786,
M00787,"Bacilysin biosynthesis, prephenate => bacilysin",INCOMPLETE,1__6,"K19546,K19547,K19550,K19549,K13037",K19548,1.0,6.0,16.666666666666668,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,1,5,https://www.kegg.jp/entry/M00787,https://www.kegg.jp/entry/K19548
M00788,"Terpentecin biosynthesis, GGAP => terpentecin",2 BLOCKS MISSING,0__2,"K19835,K19834",,0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,2,https://www.kegg.jp/entry/M00788,
M00789,"Rebeccamycin biosynthesis, tryptophan => rebeccamycin",INCOMPLETE,0__6,"K14266,K19884,K19885,K19886,K19887,K19888,K19889",,0.0,6.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,7,https://www.kegg.jp/entry/M00789,
M00790,"Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin",INCOMPLETE,0__4,"K14266,K19981,K14257,K19982",,0.0,4.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,4,https://www.kegg.jp/entry/M00790,
M00793,dTDP-L-rhamnose biosynthesis,COMPLETE,4__4,,"K00973,K01710,K01790,K00067",4.0,4.0,100.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,4,0,https://www.kegg.jp/entry/M00793,https://www.kegg.jp/entry/K00067; https://www.kegg.jp/entry/K00973; https://www.kegg.jp/entry/K01710; https://www.kegg.jp/entry/K01790
M00794,dTDP-6-deoxy-D-allose biosynthesis,2 BLOCKS MISSING,0__2,"K13312,K13313",,0.0,2.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,2,https://www.kegg.jp/entry/M00794,
M00795,dTDP-beta-L-noviose biosynthesis,INCOMPLETE,0__3,"K19855,K12710,K17625",,0.0,3.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,3,https://www.kegg.jp/entry/M00795,
M00796,dTDP-D-mycaminose biosynthesis,INCOMPLETE,0__3,"K19853,K19854,K13307",,0.0,3.0,0.0,Ga0540489,Ga0540489,metagenomes,reportKMC_Ga0540489_proteins.fa.tsv,0,3,https://www.kegg.jp/entry/M00796,
